campaign_id,branch_type,region,season,occasion,cake_type,promotion_type,discount_percent,social_media_spend,influencer_support,customization_available,personalized_bundle,day_of_week,campaign_duration_days,estimated_foot_traffic,website_visits,branch_capacity,base_price,actual_orders,actual_revenue,gross_margin_percent,campaign_cost,actual_profit,actual_roi,success_label
CMP-00080,Transit,South,Normal,Family Celebration,Chocolate,Personalized Box,0,38529,0,0,1,Weekday,11,5812,5859,382,831,300,279216.0,53.52,68445.57,80984.68,1.183,0
CMP-00081,Mall,Bangkok,Valentine,Family Celebration,Red Velvet,Bundle,15,15032,0,0,1,Weekday,6,13791,2457,568,959,350,319538.8,52.04,52528.66,113768.01,2.166,1
CMP-00082,Mall,Central,New Year,Seasonal Gift,Vanilla,Social Challenge,25,40492,0,1,0,Weekend,12,13189,9929,765,671,1082,593522.98,56.45,69747.31,265280.52,3.803,1
CMP-00083,Mall,Bangkok,Back to School,Self Reward,Red Velvet,Creator Collaboration,15,34104,0,0,0,Weekday,14,15270,6512,568,1031,641,561740.35,47.67,71239.32,196533.87,2.759,0
CMP-00084,Transit,Central,Valentine,Birthday,Matcha,Discount,25,33329,0,1,0,Weekday,9,7821,5043,237,803,272,178555.08,41.94,61047.2,13836.09,0.227,0
CMP-00085,Neighborhood,Bangkok,Back to School,Office Celebration,Vanilla,Bundle,10,9358,0,1,1,Weekday,3,3333,1428,495,771,70,58773.33,59.7,30762.38,4325.79,0.141,0
CMP-00086,Hospital,Northeast,Christmas,Couple Gift,Red Velvet,Discount,10,19525,0,1,0,Weekend,12,4787,3009,220,924,277,251084.99,54.65,48763.15,88457.91,1.814,1
CMP-00087,CBD / Office,Northeast,Normal,Seasonal Gift,Fruit Cake,Creator Collaboration,15,77585,1,1,0,Weekday,8,8468,23464,408,942,396,345614.15,48.36,129944.43,37178.59,0.286,0
CMP-00088,CBD / Office,South,Normal,Friend Group,Red Velvet,Limited Edition,15,27588,0,1,0,Weekday,11,7061,4326,442,1027,293,289945.8,48.6,59409.3,81511.97,1.372,0
CMP-00089,Neighborhood,South,Normal,Seasonal Gift,Chocolate,Personalized Box,10,32123,0,1,1,Weekend,14,5513,6215,394,836,400,364161.6,46.72,71110.02,99021.98,1.393,1
CMP-00090,CBD / Office,Central,Normal,Self Reward,Chocolate,Free Add-on,10,46476,1,1,0,Weekday,7,8950,12208,484,788,403,311530.28,55.67,111110.72,62316.48,0.561,0
CMP-00091,Mall,Central,Normal,Office Celebration,Matcha,Discount,25,33268,0,0,0,Weekend,9,11926,5622,632,804,364,219492.0,40.46,68649.42,20154.67,0.294,0
CMP-00092,Mall,Bangkok,Back to School,Couple Gift,Cheesecake,Personalized Box,10,40895,1,0,1,Weekday,10,13460,8065,743,963,695,674639.28,54.01,113506.91,250866.27,2.21,1
CMP-00093,Mall,Bangkok,Normal,Couple Gift,Vanilla,Discount,25,69446,1,1,0,Weekday,12,11908,12554,688,760,898,557927.4,53.42,151295.26,146762.01,0.97,0
CMP-00094,Neighborhood,Bangkok,Normal,Office Celebration,Chocolate,Free Add-on,20,5000,1,0,0,Weekday,11,4978,1445,324,955,120,91680.0,48.06,64933.79,-20872.21,-0.321,0
CMP-00095,University Area,North,Mother's Day,Self Reward,Vanilla,Social Challenge,15,84366,1,1,0,Weekday,8,3554,26965,307,651,288,173707.63,53.12,154776.26,-62496.87,-0.404,0
CMP-00096,Transit,Bangkok,Songkran,Friend Group,Matcha,Social Challenge,15,41404,0,1,1,Weekday,7,9776,10639,313,890,279,255386.83,54.81,80546.24,59426.06,0.738,0
CMP-00097,Neighborhood,Central,Normal,Friend Group,Vanilla,Creator Collaboration,25,49028,1,1,0,Weekday,9,5959,16653,282,815,323,215202.79,41.55,119842.76,-30421.46,-0.254,0
CMP-00098,Neighborhood,North,Back to School,Family Celebration,Vanilla,Discount,15,28498,0,1,0,Weekday,5,6058,5808,451,699,257,166439.24,44.54,45646.62,28479.2,0.624,0
CMP-00099,Neighborhood,Bangkok,New Year,Seasonal Gift,Matcha,Limited Edition,10,42140,0,0,0,Weekday,10,6267,7470,314,1007,401,377963.35,44.65,78680.14,90080.89,1.145,0
CMP-00100,Mall,Central,Back to School,Couple Gift,Strawberry,Bundle,25,36303,0,0,1,Weekend,3,11134,5564,688,927,276,214915.68,43.93,51919.8,42483.78,0.818,0
CMP-00101,Mall,Bangkok,Christmas,Friend Group,Vanilla,Discount,10,46808,1,0,0,Weekday,5,13996,9794,697,774,410,285606.0,54.93,97825.68,59056.76,0.604,0
CMP-00102,Mall,Central,Graduation,Birthday,Red Velvet,Free Add-on,15,22046,0,0,1,Weekday,7,14603,4411,641,1018,486,471000.1,52.27,59508.94,186683.34,3.137,1
CMP-00103,Neighborhood,Central,Valentine,Family Celebration,Chocolate,Social Challenge,30,87447,1,0,0,Weekend,4,5024,25859,343,867,179,108635.1,44.18,121127.29,-73126.93,-0.604,0
CMP-00104,Hospital,South,Mother's Day,Seasonal Gift,Chocolate,Social Challenge,0,50646,1,0,0,Weekend,6,3982,12620,274,854,238,203252.0,47.44,102896.63,-6465.74,-0.063,0
CMP-00105,Neighborhood,Bangkok,Christmas,Family Celebration,Matcha,Creator Collaboration,30,99567,1,0,0,Weekend,13,6746,24037,439,874,745,455791.0,46.22,171874.53,38772.57,0.226,0
CMP-00106,Transit,North,Songkran,Friend Group,Fruit Cake,Bundle,20,10836,0,0,0,Weekend,6,4901,1593,280,992,104,82534.4,45.55,25178.13,12418.75,0.493,0
CMP-00107,Hospital,South,Normal,Self Reward,Cheesecake,Limited Edition,15,13047,0,0,0,Weekday,8,6196,3378,332,901,204,162482.74,49.05,32345.39,47355.48,1.464,1
CMP-00108,University Area,Bangkok,Christmas,Couple Gift,Fruit Cake,Free Add-on,20,33925,1,0,0,Weekday,13,6999,9715,384,884,616,435635.2,49.31,85919.12,128894.44,1.5,1
CMP-00109,Mall,Central,Back to School,Friend Group,Chocolate,Limited Edition,20,19657,0,0,1,Weekday,9,11210,3870,511,920,385,330057.73,47.31,62874.58,93276.68,1.484,0
CMP-00110,Mall,Northeast,Normal,Couple Gift,Matcha,Creator Collaboration,5,57158,1,0,1,Weekend,7,8778,17335,760,914,732,711867.07,55.31,102300.44,291400.04,2.848,1
CMP-00111,University Area,Bangkok,Mother's Day,Birthday,Matcha,Social Challenge,20,44590,0,1,0,Weekday,14,8409,8648,424,970,824,696972.16,42.39,101204.58,194271.53,1.92,1
CMP-00112,Hospital,Bangkok,New Year,Couple Gift,Fruit Cake,Social Challenge,15,37813,1,0,0,Weekday,13,5915,9353,293,993,451,380666.55,47.64,81094.38,100238.44,1.236,1
CMP-00113,CBD / Office,Central,Valentine,Birthday,Fruit Cake,Social Challenge,0,70042,0,0,0,Weekend,6,6812,13766,508,960,419,402240.0,53.9,81499.54,135309.91,1.66,1
CMP-00114,Neighborhood,Bangkok,Normal,Self Reward,Vanilla,Limited Edition,0,11427,0,1,0,Weekday,10,5994,2879,327,799,175,158505.62,56.04,32399.57,56428.81,1.742,0
CMP-00115,Neighborhood,South,Normal,Self Reward,Cheesecake,Creator Collaboration,10,40500,1,1,0,Weekday,8,4192,11645,332,832,389,317498.69,55.05,78885.17,95882.4,1.215,1
CMP-00116,Neighborhood,Central,Back to School,Self Reward,Chocolate,Limited Edition,15,41537,0,0,0,Weekday,14,5085,8435,359,746,584,385126.98,47.2,71944.5,109817.14,1.526,1
CMP-00117,University Area,Bangkok,Mother's Day,Self Reward,Fruit Cake,Free Add-on,20,57808,1,0,0,Weekday,3,6625,14854,483,790,173,109336.0,44.95,88591.38,-39443.54,-0.445,0
CMP-00118,Hospital,Bangkok,Normal,Self Reward,Strawberry,Discount,30,30745,0,1,0,Weekend,6,4011,4639,335,843,239,153726.95,43.72,49363.36,17845.91,0.362,0
CMP-00119,CBD / Office,Central,Normal,Couple Gift,Red Velvet,Bundle,25,29717,0,0,0,Weekday,10,6274,5659,587,908,341,232221.0,50.35,66697.76,50236.39,0.753,0
CMP-00120,CBD / Office,Central,Songkran,Birthday,Red Velvet,Social Challenge,30,56201,1,0,0,Weekday,10,8658,10879,438,959,617,414192.1,43.91,116180.82,65672.48,0.565,0
CMP-00121,Mall,Bangkok,Normal,Friend Group,Strawberry,Limited Edition,15,12219,0,1,0,Weekday,11,13965,3116,725,842,416,337508.09,61.09,42043.59,164144.49,3.904,0
CMP-00122,Hospital,Bangkok,New Year,Couple Gift,Fruit Cake,Bundle,25,27368,0,0,1,Weekend,8,4492,4502,293,964,339,274508.64,54.97,57453.69,93452.78,1.627,1
CMP-00123,Transit,Bangkok,Normal,Family Celebration,Fruit Cake,Discount,25,18348,0,1,0,Weekend,12,12035,3972,244,880,365,262581.0,45.61,66330.48,53434.48,0.806,0
CMP-00124,University Area,Central,Normal,Couple Gift,Chocolate,Limited Edition,5,29714,0,1,0,Weekday,7,5541,6604,476,813,335,293304.55,51.69,44993.48,106624.94,2.37,1
CMP-00125,CBD / Office,Bangkok,Normal,Seasonal Gift,Strawberry,Social Challenge,5,47671,1,0,1,Weekday,6,10003,13420,580,1063,492,556467.74,55.42,102506.14,205873.18,2.008,1
CMP-00126,Mall,Northeast,Mother's Day,Birthday,Matcha,Discount,5,31287,1,0,0,Weekend,11,10418,4856,710,816,570,441864.0,53.94,88892.62,149463.67,1.681,0
CMP-00127,Mall,Central,Back to School,Office Celebration,Cheesecake,Bundle,20,17239,1,0,1,Weekend,11,11901,3978,671,1053,505,476461.44,52.91,72158.04,179927.62,2.494,0
CMP-00128,Transit,North,Valentine,Couple Gift,Red Velvet,Personalized Box,25,14022,0,0,0,Weekday,4,7059,2825,402,1054,191,150985.5,48.67,24628.1,48854.21,1.984,1
CMP-00129,CBD / Office,Bangkok,Normal,Family Celebration,Matcha,Discount,5,19784,0,0,1,Weekend,12,14093,2884,567,918,335,327211.92,57.15,72789.02,114201.42,1.569,0
CMP-00130,CBD / Office,Bangkok,Songkran,Friend Group,Strawberry,Bundle,15,12607,0,0,1,Weekend,12,8672,1714,516,821,231,180547.75,47.9,53277.95,33196.19,0.623,0
CMP-00131,University Area,Bangkok,Back to School,Friend Group,Cheesecake,Bundle,20,29127,0,0,1,Weekend,10,8883,4591,472,935,438,366938.88,52.57,76208.29,116686.59,1.531,1
CMP-00132,Neighborhood,Central,Back to School,Friend Group,Matcha,Creator Collaboration,0,34817,0,1,0,Weekday,8,3415,7143,263,846,287,264654.18,59.66,63376.24,94506.05,1.491,1
CMP-00133,Mall,Bangkok,Normal,Seasonal Gift,Red Velvet,Social Challenge,15,47472,0,0,0,Weekend,11,13088,8467,739,956,561,455868.6,50.23,88966.81,140032.03,1.574,0
CMP-00134,Mall,Central,Mother's Day,Self Reward,Matcha,Discount,10,73740,1,1,1,Weekend,10,11210,17226,428,828,581,523883.05,59.64,147129.14,165319.68,1.124,0
CMP-00135,Mall,Bangkok,Christmas,Family Celebration,Chocolate,Creator Collaboration,15,70678,1,1,0,Weekday,13,17585,14113,609,788,1036,756364.95,49.67,137332.54,238370.86,1.736,1
CMP-00136,Mall,North,Back to School,Self Reward,Chocolate,Social Challenge,15,60130,1,0,0,Weekend,4,10240,13935,599,823,284,198672.2,48.48,97084.31,-760.41,-0.008,0
CMP-00137,Mall,Northeast,Christmas,Family Celebration,Strawberry,Bundle,5,5000,0,1,0,Weekday,10,9671,1087,669,901,260,242576.23,55.2,23970.37,109927.45,4.586,0
CMP-00138,University Area,Bangkok,Mother's Day,Office Celebration,Matcha,Bundle,20,27613,0,1,1,Weekend,6,7898,4694,560,874,412,348565.18,53.52,51854.72,134688.85,2.597,1
CMP-00139,University Area,Bangkok,Graduation,Self Reward,Red Velvet,Free Add-on,15,5000,0,0,0,Weekday,7,6289,1604,485,1096,132,122971.2,51.97,31980.17,31928.51,0.998,0
CMP-00140,Mall,Northeast,New Year,Self Reward,Matcha,Limited Edition,10,30093,0,1,0,Weekend,7,10607,7025,768,767,596,466384.35,60.02,45585.47,234317.97,5.14,1
CMP-00141,Hospital,Central,Christmas,Self Reward,Chocolate,Personalized Box,15,62971,1,1,0,Weekday,7,2330,15882,375,760,332,233774.48,53.01,122056.38,1875.56,0.015,0
